stage,pooling,control,seed,attribute_id,attribute_name,attribute_group,train_observed,train_positive,train_negative,train_prevalence,validation_observed,validation_positive,validation_negative,threshold_selected_on_train,auroc,f1,train_loss
vision.early,mean,primary,0,120,has_breast_color::buff,has_breast_color,145,52,93,0.35862070322036743,75,26,49,4.223431587219238,0.4631083202511774,0.2,0.011983671225607395
vision.early,mean,primary,0,294,has_crown_color::blue,has_crown_color,155,11,144,0.07096774131059647,75,4,71,12.59366226196289,0.7852112676056338,0.0,0.011983671225607395
vision.early,mean,primary,0,295,has_crown_color::brown,has_crown_color,155,60,95,0.3870967626571655,75,33,42,4.834720134735107,0.5512265512265512,0.35294117647058826,0.011983671225607395
vision.early,mean,primary,0,299,has_crown_color::grey,has_crown_color,155,36,119,0.23225806653499603,75,18,57,4.0650434494018555,0.4337231968810916,0.13333333333333333,0.011983671225607395
vision.early,mean,primary,0,305,has_crown_color::black,has_crown_color,155,45,110,0.29032257199287415,75,24,51,4.566666126251221,0.5629084967320261,0.35,0.011983671225607395
vision.early,mean,primary,0,306,has_crown_color::white,has_crown_color,155,20,135,0.12903225421905518,75,10,65,6.416530609130859,0.6030769230769231,0.14285714285714285,0.011983671225607395
vision.early,mean,primary,0,308,has_crown_color::buff,has_crown_color,155,31,124,0.20000000298023224,75,16,59,4.712312698364258,0.6122881355932204,0.2857142857142857,0.011983671225607395
vision.early,mean,primary,0,309,has_wing_pattern::solid,has_wing_pattern,151,32,119,0.21192052960395813,72,18,54,5.296744346618652,0.5946502057613169,0.3870967741935484,0.011983671225607395
vision.early,mean,primary,0,310,has_wing_pattern::spotted,has_wing_pattern,151,31,120,0.20529800653457642,72,7,65,4.750504493713379,0.7450549450549451,0.2857142857142857,0.011983671225607395
vision.early,mean,primary,0,311,has_wing_pattern::striped,has_wing_pattern,151,55,96,0.3642384111881256,72,33,39,4.519738674163818,0.6285936285936286,0.3333333333333333,0.011983671225607395
vision.early,mean,primary,0,312,has_wing_pattern::multi-colored,has_wing_pattern,151,33,118,0.21854305267333984,72,14,58,4.626772880554199,0.5086206896551724,0.23255813953488372,0.011983671225607395
vision.early,mean,primary,1,2,has_bill_shape::dagger,has_bill_shape,160,14,146,0.08749999850988388,76,4,72,9.539773941040039,0.6458333333333334,0.3076923076923077,0.011673735454678535
vision.early,mean,primary,1,5,has_bill_shape::hooked_seabird,has_bill_shape,160,15,145,0.09375,76,3,73,5.464484214782715,0.5525114155251142,0.0,0.011673735454678535
vision.early,mean,primary,1,7,has_bill_shape::all-purpose,has_bill_shape,160,66,94,0.4124999940395355,76,34,42,4.148336887359619,0.5084033613445378,0.3076923076923077,0.011673735454678535
vision.early,mean,primary,1,8,has_bill_shape::cone,has_bill_shape,160,44,116,0.2750000059604645,76,21,55,4.698151588439941,0.5298701298701298,0.2631578947368421,0.011673735454678535
vision.early,mean,primary,1,96,has_head_pattern::malar,has_head_pattern,156,16,140,0.10256410390138626,76,10,66,9.855321884155273,0.44393939393939397,0.0,0.011673735454678535
vision.early,mean,primary,1,100,has_head_pattern::eyebrow,has_head_pattern,156,30,126,0.19230769574642181,76,14,62,4.857330322265625,0.5725806451612904,0.20689655172413793,0.011673735454678535
vision.early,mean,primary,1,101,has_head_pattern::eyering,has_head_pattern,156,25,131,0.16025641560554504,76,16,60,6.28715705871582,0.43333333333333335,0.21621621621621623,0.011673735454678535
vision.early,mean,primary,1,102,has_head_pattern::plain,has_head_pattern,156,37,119,0.2371794879436493,76,13,63,3.8419103622436523,0.6727716727716728,0.3870967741935484,0.011673735454678535
vision.early,mean,primary,1,103,has_head_pattern::eyeline,has_head_pattern,156,18,138,0.11538461595773697,76,7,69,5.741901397705078,0.422360248447205,0.13333333333333333,0.011673735454678535
vision.early,mean,primary,1,104,has_head_pattern::striped,has_head_pattern,156,15,141,0.09615384787321091,76,14,62,8.957101821899414,0.5529953917050692,0.16666666666666666,0.011673735454678535
vision.early,mean,primary,1,105,has_head_pattern::capped,has_head_pattern,156,16,140,0.10256410390138626,76,9,67,4.0960822105407715,0.45439469320066334,0.15384615384615385,0.011673735454678535
vision.early,mean,primary,1,107,has_breast_color::brown,has_breast_color,145,29,116,0.20000000298023224,75,14,61,4.914944171905518,0.594847775175644,0.23529411764705882,0.011673735454678535
